village_id,all_text
10013080001,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以61.8%的得票率領先，第二高票為國民黨侯友宜，拿下19.1%，兩人相差42.7個百分點。第三高票為民眾黨柯文哲，得票率達19%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達77.6％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達80.4%。
2024年立委選舉：屏東縣九如鄉九清村所屬的屏東縣第1選區，民進黨鍾佳濱以60.1%領先，國民黨黃明賢以得票率28.7%為第二高票。政黨票方面，民進黨以58.9％在該區取得領先，其後為國民黨19.8%、民眾黨15.6%。
社會經濟背景：該區39歲以下人口佔比約29.9%，相較全國，是較年長的村里。具有大專以上學歷人口佔比約為40%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為44.7萬元，相較全國，是收入較高的村里。"
10013080002,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以58.9%的得票率領先，第二高票為國民黨侯友宜，拿下22.1%，兩人相差36.8個百分點。第三高票為民眾黨柯文哲，得票率達19%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達75.1％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達74.5%。
2024年立委選舉：屏東縣九如鄉九塊村所屬的屏東縣第1選區，民進黨鍾佳濱以58%領先，國民黨黃明賢以得票率32.1%為第二高票。政黨票方面，民進黨以55.6％在該區取得領先，其後為國民黨23.8%、民眾黨14.8%。
社會經濟背景：該區39歲以下人口佔比約33.4%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為37%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為38.7萬元，相較全國，是收入較低的村里。"
10013080003,"2024年總統大選結果：該區和全國結果不同，第一高票由民進黨賴清德以得票率58%領先，接著為民眾黨柯文哲，拿下得票率22.9%，跟第一高票相差35.1個百分點。第三高票為國民黨侯友宜，得票率達19.1%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達74.7％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達76.4%。
2024年立委選舉：屏東縣九如鄉九明村所屬的屏東縣第1選區，民進黨鍾佳濱以60.7%領先，國民黨黃明賢以得票率28.7%為第二高票。政黨票方面，民進黨以54.3％在該區取得領先，其後為國民黨21.4%、民眾黨17.2%。
社會經濟背景：該區39歲以下人口佔比約30.8%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為38.8%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為40.4萬元，相較全國，是收入較低的村里。"
10013080004,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以59.8%的得票率領先，第二高票為國民黨侯友宜，拿下22.4%，兩人相差37.4個百分點。第三高票為民眾黨柯文哲，得票率達17.7%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達71％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達76.2%。
2024年立委選舉：屏東縣九如鄉玉水村所屬的屏東縣第1選區，民進黨鍾佳濱以56.5%領先，國民黨黃明賢以得票率34.6%為第二高票。政黨票方面，民進黨以56.3％在該區取得領先，其後為國民黨24.4%、民眾黨12.5%。
社會經濟背景：該區39歲以下人口佔比約30.1%，相較全國，是較年長的村里。具有大專以上學歷人口佔比約為31.6%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為38.4萬元，相較全國，是收入較低的村里。"
10013080005,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以50.1%的得票率領先，第二高票為國民黨侯友宜，拿下25.7%，兩人相差24.4個百分點。第三高票為民眾黨柯文哲，得票率達24.2%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達70.1％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達74.1%。
2024年立委選舉：屏東縣九如鄉大坵村所屬的屏東縣第1選區，民進黨鍾佳濱以50.4%領先，國民黨黃明賢以得票率36.9%為第二高票。政黨票方面，民進黨以46.7％在該區取得領先，其後為國民黨28.4%、民眾黨18.6%。
社會經濟背景：該區39歲以下人口佔比約32.3%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為31.6%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為35.2萬元，相較全國，是收入較低的村里。"
10013080006,"2024年總統大選結果：該區和全國結果不同，第一高票由民進黨賴清德以得票率60.3%領先，接著為民眾黨柯文哲，拿下得票率24%，跟第一高票相差36.3個百分點。第三高票為國民黨侯友宜，得票率達15.6%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達79.2％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達79.2%。
2024年立委選舉：屏東縣九如鄉三塊村所屬的屏東縣第1選區，民進黨鍾佳濱以64.4%領先，國民黨黃明賢以得票率23.3%為第二高票。政黨票方面，民進黨以57.6％在該區取得領先，其後為民眾黨18.2%、國民黨17.2%。
社會經濟背景：該區39歲以下人口佔比約34.9%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為29.8%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為37.8萬元，相較全國，是收入較低的村里。"
10013080007,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以61.8%的得票率領先，第二高票為國民黨侯友宜，拿下19.4%，兩人相差42.4個百分點。第三高票為民眾黨柯文哲，得票率達18.9%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達77％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達79.5%。
2024年立委選舉：屏東縣九如鄉後庄村所屬的屏東縣第1選區，民進黨鍾佳濱以60.6%領先，國民黨黃明賢以得票率29.5%為第二高票。政黨票方面，民進黨以59.6％在該區取得領先，其後為國民黨19.4%、民眾黨15%。
社會經濟背景：該區39歲以下人口佔比約31.6%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為36.3%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為42.2萬元，接近全國平均。"
10013080008,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以59%的得票率領先，第二高票為國民黨侯友宜，拿下20.8%，兩人相差38.2個百分點。第三高票為民眾黨柯文哲，得票率達20.1%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達72.4％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達76.2%。
2024年立委選舉：屏東縣九如鄉耆老村所屬的屏東縣第1選區，民進黨鍾佳濱以56.4%領先，國民黨黃明賢以得票率33.3%為第二高票。政黨票方面，民進黨以56.5％在該區取得領先，其後為國民黨22%、民眾黨15.2%。
社會經濟背景：該區39歲以下人口佔比約29.9%，相較全國，是較年長的村里。具有大專以上學歷人口佔比約為36.3%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為42.8萬元，接近全國平均。"
10013080009,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以57.2%的得票率領先，第二高票為國民黨侯友宜，拿下23.5%，兩人相差33.7個百分點。第三高票為民眾黨柯文哲，得票率達19.3%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達70.2％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達73.1%。
2024年立委選舉：屏東縣九如鄉洽興村所屬的屏東縣第1選區，民進黨鍾佳濱以58.9%領先，國民黨黃明賢以得票率30.3%為第二高票。政黨票方面，民進黨以54.5％在該區取得領先，其後為國民黨24%、民眾黨14.3%。
社會經濟背景：該區39歲以下人口佔比約32.3%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為32%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為36萬元，相較全國，是收入較低的村里。"
10013080010,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以55.4%的得票率領先，第二高票為國民黨侯友宜，拿下22.4%，兩人相差33個百分點。第三高票為民眾黨柯文哲，得票率達22.2%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達70.1％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達73.5%。
2024年立委選舉：屏東縣九如鄉東寧村所屬的屏東縣第1選區，民進黨鍾佳濱以56.2%領先，國民黨黃明賢以得票率32.6%為第二高票。政黨票方面，民進黨以51％在該區取得領先，其後為國民黨23.4%、民眾黨17.6%。
社會經濟背景：該區39歲以下人口佔比約33.4%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為39.2%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為44.7萬元，相較全國，是收入較高的村里。"
10013080011,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以53.1%的得票率領先，第二高票為國民黨侯友宜，拿下26.4%，兩人相差26.7個百分點。第三高票為民眾黨柯文哲，得票率達20.5%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達66.3％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達71%。
2024年立委選舉：屏東縣九如鄉玉泉村所屬的屏東縣第1選區，民進黨鍾佳濱以53.1%領先，國民黨黃明賢以得票率35.2%為第二高票。政黨票方面，民進黨以49.2％在該區取得領先，其後為國民黨27.7%、民眾黨16.1%。
社會經濟背景：該區39歲以下人口佔比約31%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為37.7%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為36.7萬元，相較全國，是收入較低的村里。"
