village_id,all_text
10007020001,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以48.2%的得票率領先，第二高票為國民黨侯友宜，拿下28.6%，兩人相差19.6個百分點。第三高票為民眾黨柯文哲，得票率達23.1%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達66.8％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達64.2%。
2024年立委選舉：彰化縣鹿港鎮大有里所屬的彰化縣第1選區，民進黨陳秀寳以66.7%領先，國民黨阮厚爵以得票率30.7%為第二高票。政黨票方面，民進黨以44.8％在該區取得領先，其後為國民黨30%、民眾黨18%。
社會經濟背景：該區39歲以下人口佔比約27.1%，相較全國，是較年長的村里。具有大專以上學歷人口佔比約為43.1%，相較全國，是高學歷人口佔比偏高的村里。綜合所得中位數為39.1萬元，相較全國，是收入較低的村里。"
10007020002,"2024年總統大選結果：該區和全國結果不同，第一高票由民進黨賴清德以得票率51%領先，接著為民眾黨柯文哲，拿下得票率27.8%，跟第一高票相差23.2個百分點。第三高票為國民黨侯友宜，得票率達21.2%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達69.3％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達65.5%。
2024年立委選舉：彰化縣鹿港鎮中興里所屬的彰化縣第1選區，民進黨陳秀寳以70%領先，國民黨阮厚爵以得票率28%為第二高票。政黨票方面，民進黨以46.1％在該區取得領先，其後為國民黨24.3%、民眾黨22.1%。
社會經濟背景：該區39歲以下人口佔比約31.8%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為50.7%，相較全國，是高學歷人口佔比偏高的村里。綜合所得中位數為38.7萬元，相較全國，是收入較低的村里。"
10007020003,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以48.9%的得票率領先，第二高票為國民黨侯友宜，拿下26.8%，兩人相差22.1個百分點。第三高票為民眾黨柯文哲，得票率達24.3%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達65.4％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達63%。
2024年立委選舉：彰化縣鹿港鎮洛津里所屬的彰化縣第1選區，民進黨陳秀寳以66.1%領先，國民黨阮厚爵以得票率31.6%為第二高票。政黨票方面，民進黨以44.5％在該區取得領先，其後為國民黨27.7%、民眾黨20.6%。
社會經濟背景：該區39歲以下人口佔比約28.1%，相較全國，是較年長的村里。具有大專以上學歷人口佔比約為37.7%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為37萬元，相較全國，是收入較低的村里。"
10007020004,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以43.3%的得票率領先，第二高票為國民黨侯友宜，拿下31.7%，兩人相差11.6個百分點。第三高票為民眾黨柯文哲，得票率達25%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達59.6％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達56.7%。
2024年立委選舉：彰化縣鹿港鎮順興里所屬的彰化縣第1選區，民進黨陳秀寳以60.8%領先，國民黨阮厚爵以得票率36.4%為第二高票。政黨票方面，民進黨以40.5％在該區取得領先，其後為國民黨33.7%、民眾黨19.7%。
社會經濟背景：該區39歲以下人口佔比約28.6%，相較全國，是較年長的村里。具有大專以上學歷人口佔比約為44.3%，相較全國，是高學歷人口佔比偏高的村里。綜合所得中位數為36.2萬元，相較全國，是收入較低的村里。"
10007020005,"2024年總統大選結果：該區和全國結果不同，第一高票由民進黨賴清德以得票率39.4%領先，接著為民眾黨柯文哲，拿下得票率32.1%，跟第一高票相差7.3個百分點。第三高票為國民黨侯友宜，得票率達28.5%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達63.2％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達61.6%。
2024年立委選舉：彰化縣鹿港鎮頂厝里所屬的彰化縣第1選區，民進黨陳秀寳以60%領先，國民黨阮厚爵以得票率36.9%為第二高票。政黨票方面，民進黨以36.9％在該區取得領先，其後為國民黨31.7%、民眾黨24.4%。
社會經濟背景：該區39歲以下人口佔比約39.4%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為49.7%，相較全國，是高學歷人口佔比偏高的村里。綜合所得中位數為41萬元，接近全國平均。"
10007020006,"2024年總統大選結果：該區和全國結果不同，第一高票由民進黨賴清德以得票率40.6%領先，接著為民眾黨柯文哲，拿下得票率30.5%，跟第一高票相差10.1個百分點。第三高票為國民黨侯友宜，得票率達28.8%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達62.5％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達58.2%。
2024年立委選舉：彰化縣鹿港鎮東崎里所屬的彰化縣第1選區，民進黨陳秀寳以62%領先，國民黨阮厚爵以得票率34.6%為第二高票。政黨票方面，民進黨以37.1％在該區取得領先，其後為國民黨31.9%、民眾黨23.9%。
社會經濟背景：該區39歲以下人口佔比約36.5%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為38.4%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為37.8萬元，相較全國，是收入較低的村里。"
10007020007,"2024年總統大選結果：該區和全國結果不同，第一高票由民進黨賴清德以得票率47.8%領先，接著為民眾黨柯文哲，拿下得票率27.1%，跟第一高票相差20.7個百分點。第三高票為國民黨侯友宜，得票率達25.1%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達68.1％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達65.3%。
2024年立委選舉：彰化縣鹿港鎮埔崙里所屬的彰化縣第1選區，民進黨陳秀寳以66.3%領先，國民黨阮厚爵以得票率31.3%為第二高票。政黨票方面，民進黨以43.5％在該區取得領先，其後為國民黨26.6%、民眾黨22.1%。
社會經濟背景：該區39歲以下人口佔比約37.4%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為45.6%，相較全國，是高學歷人口佔比偏高的村里。綜合所得中位數為40.3萬元，相較全國，是收入較低的村里。"
10007020008,"2024年總統大選結果：該區和全國結果不同，第一高票由民進黨賴清德以得票率49.5%領先，接著為民眾黨柯文哲，拿下得票率26.3%，跟第一高票相差23.2個百分點。第三高票為國民黨侯友宜，得票率達24.2%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達67.7％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達67%。
2024年立委選舉：彰化縣鹿港鎮東石里所屬的彰化縣第1選區，民進黨陳秀寳以69.4%領先，國民黨阮厚爵以得票率28%為第二高票。政黨票方面，民進黨以45％在該區取得領先，其後為國民黨25.7%、民眾黨22.2%。
社會經濟背景：該區39歲以下人口佔比約35.6%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為39.6%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為38.1萬元，相較全國，是收入較低的村里。"
10007020009,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以51%的得票率領先，第二高票為國民黨侯友宜，拿下28.8%，兩人相差22.2個百分點。第三高票為民眾黨柯文哲，得票率達20.2%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達65.4％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達65.3%。
2024年立委選舉：彰化縣鹿港鎮郭厝里所屬的彰化縣第1選區，民進黨陳秀寳以68.1%領先，國民黨阮厚爵以得票率28.4%為第二高票。政黨票方面，民進黨以46％在該區取得領先，其後為國民黨29%、民眾黨19%。
社會經濟背景：該區39歲以下人口佔比約30.1%，相較全國，是較年長的村里。具有大專以上學歷人口佔比約為34.5%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為35.8萬元，相較全國，是收入較低的村里。"
10007020010,"2024年總統大選結果：該區和全國結果不同，第一高票由民進黨賴清德以得票率54%領先，接著為民眾黨柯文哲，拿下得票率23.8%，跟第一高票相差30.2個百分點。第三高票為國民黨侯友宜，得票率達22.3%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達70.2％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達71.2%。
2024年立委選舉：彰化縣鹿港鎮新宮里所屬的彰化縣第1選區，民進黨陳秀寳以72.6%領先，國民黨阮厚爵以得票率24.4%為第二高票。政黨票方面，民進黨以50.3％在該區取得領先，其後為國民黨22%、民眾黨20.5%。
社會經濟背景：該區39歲以下人口佔比約29.2%，相較全國，是較年長的村里。具有大專以上學歷人口佔比約為40.7%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為37.4萬元，相較全國，是收入較低的村里。"
10007020011,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以53.1%的得票率領先，第二高票為國民黨侯友宜，拿下27.7%，兩人相差25.4個百分點。第三高票為民眾黨柯文哲，得票率達19.2%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達69.2％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達65.6%。
2024年立委選舉：彰化縣鹿港鎮玉順里所屬的彰化縣第1選區，民進黨陳秀寳以69%領先，國民黨阮厚爵以得票率29.1%為第二高票。政黨票方面，民進黨以48.3％在該區取得領先，其後為國民黨29.1%、民眾黨16.2%。
社會經濟背景：該區39歲以下人口佔比約27.9%，相較全國，是較年長的村里。具有大專以上學歷人口佔比約為38.2%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為32.3萬元，相較全國，是收入較低的村里。"
10007020012,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以44.2%的得票率領先，第二高票為國民黨侯友宜，拿下31.7%，兩人相差12.5個百分點。第三高票為民眾黨柯文哲，得票率達24.2%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達56.1％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達55.8%。
2024年立委選舉：彰化縣鹿港鎮景福里所屬的彰化縣第1選區，民進黨陳秀寳以63.1%領先，國民黨阮厚爵以得票率34.8%為第二高票。政黨票方面，民進黨以39.1％在該區取得領先，其後為國民黨34.8%、民眾黨19.5%。
社會經濟背景：該區39歲以下人口佔比約25.8%，相較全國，是較年長的村里。具有大專以上學歷人口佔比約為45.4%，相較全國，是高學歷人口佔比偏高的村里。綜合所得中位數為42.4萬元，接近全國平均。"
10007020013,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以46.5%的得票率領先，第二高票為國民黨侯友宜，拿下30.2%，兩人相差16.3個百分點。第三高票為民眾黨柯文哲，得票率達23.2%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達62.8％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達57.3%。
2024年立委選舉：彰化縣鹿港鎮泰興里所屬的彰化縣第1選區，民進黨陳秀寳以64.6%領先，國民黨阮厚爵以得票率32.4%為第二高票。政黨票方面，民進黨以41.1％在該區取得領先，其後為國民黨31.6%、民眾黨19.7%。
社會經濟背景：該區39歲以下人口佔比約30.7%，相較全國，是較年長的村里。具有大專以上學歷人口佔比約為51.3%，相較全國，是高學歷人口佔比偏高的村里。綜合所得中位數為44萬元，相較全國，是收入較高的村里。"
10007020014,"2024年總統大選結果：該區和全國結果不同，第一高票由民進黨賴清德以得票率39.2%領先，接著為民眾黨柯文哲，拿下得票率30.9%，跟第一高票相差8.3個百分點。第三高票為國民黨侯友宜，得票率達29.8%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達64.3％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達53.3%。
2024年立委選舉：彰化縣鹿港鎮長興里所屬的彰化縣第1選區，民進黨陳秀寳以62.5%領先，國民黨阮厚爵以得票率33.5%為第二高票。政黨票方面，民進黨以37.5％在該區取得領先，其後為國民黨34.1%、民眾黨21%。
社會經濟背景：該區39歲以下人口佔比約34.2%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為53.4%，相較全國，是高學歷人口佔比偏高的村里。綜合所得中位數為42.9萬元，接近全國平均。"
10007020015,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以48.2%的得票率領先，第二高票為國民黨侯友宜，拿下31.4%，兩人相差16.8個百分點。第三高票為民眾黨柯文哲，得票率達20.4%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達63.4％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達63.3%。
2024年立委選舉：彰化縣鹿港鎮龍山里所屬的彰化縣第1選區，民進黨陳秀寳以63.1%領先，國民黨阮厚爵以得票率33.4%為第二高票。政黨票方面，民進黨以46.5％在該區取得領先，其後為國民黨32.2%、民眾黨16.8%。
社會經濟背景：該區39歲以下人口佔比約24.3%，相較全國，是較年長的村里。具有大專以上學歷人口佔比約為42.2%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為33.2萬元，相較全國，是收入較低的村里。"
10007020016,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以48.5%的得票率領先，第二高票為國民黨侯友宜，拿下30.6%，兩人相差17.9個百分點。第三高票為民眾黨柯文哲，得票率達21%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達62.6％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達60.6%。
2024年立委選舉：彰化縣鹿港鎮興化里所屬的彰化縣第1選區，民進黨陳秀寳以66.3%領先，國民黨阮厚爵以得票率32.1%為第二高票。政黨票方面，民進黨以43.3％在該區取得領先，其後為國民黨33.7%、民眾黨14.5%。
社會經濟背景：該區39歲以下人口佔比約31.7%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為43%，相較全國，是高學歷人口佔比偏高的村里。綜合所得中位數為34.4萬元，相較全國，是收入較低的村里。"
10007020017,"2024年總統大選結果：該區和全國結果不同，第一高票由民進黨賴清德以得票率55.5%領先，接著為民眾黨柯文哲，拿下得票率23.7%，跟第一高票相差31.8個百分點。第三高票為國民黨侯友宜，得票率達20.8%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達73.6％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達72.7%。
2024年立委選舉：彰化縣鹿港鎮菜園里所屬的彰化縣第1選區，民進黨陳秀寳以73.2%領先，國民黨阮厚爵以得票率22.9%為第二高票。政黨票方面，民進黨以52.2％在該區取得領先，其後為國民黨21.9%、民眾黨18.1%。
社會經濟背景：該區39歲以下人口佔比約30.2%，相較全國，是較年長的村里。具有大專以上學歷人口佔比約為43.9%，相較全國，是高學歷人口佔比偏高的村里。綜合所得中位數為39.6萬元，相較全國，是收入較低的村里。"
10007020018,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以44.1%的得票率領先，第二高票為國民黨侯友宜，拿下29.4%，兩人相差14.7個百分點。第三高票為民眾黨柯文哲，得票率達26.6%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達64％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達61.9%。
2024年立委選舉：彰化縣鹿港鎮街尾里所屬的彰化縣第1選區，民進黨陳秀寳以64.1%領先，國民黨阮厚爵以得票率33.7%為第二高票。政黨票方面，民進黨以40.8％在該區取得領先，其後為國民黨30.9%、民眾黨20.5%。
社會經濟背景：該區39歲以下人口佔比約32.5%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為47.3%，相較全國，是高學歷人口佔比偏高的村里。綜合所得中位數為43.1萬元，接近全國平均。"
10007020019,"2024年總統大選結果：該區和全國結果不同，第一高票由國民黨侯友宜以得票率35.8%領先，接著為民進黨賴清德，拿下得票率32.3%，跟第一高票相差3.5個百分點。第三高票為民眾黨柯文哲，得票率達31.8%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達52.1％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達52.9%。
2024年立委選舉：彰化縣鹿港鎮頂番里所屬的彰化縣第1選區，民進黨陳秀寳以49%領先，國民黨阮厚爵以得票率48%為第二高票。政黨票方面，國民黨以38.5％在該區取得領先，其後為民進黨28.6%、民眾黨25.8%。
社會經濟背景：該區39歲以下人口佔比約34.7%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為39.7%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為38.5萬元，相較全國，是收入較低的村里。"
10007020020,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以36.4%的得票率領先，第二高票為國民黨侯友宜，拿下34.1%，兩人相差2.3個百分點。第三高票為民眾黨柯文哲，得票率達29.5%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達55.2％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達54.7%。
2024年立委選舉：彰化縣鹿港鎮頭崙里所屬的彰化縣第1選區，民進黨陳秀寳以51.4%領先，國民黨阮厚爵以得票率46.6%為第二高票。政黨票方面，國民黨以37.5％在該區取得領先，其後為民進黨32.4%、民眾黨24.3%。
社會經濟背景：該區39歲以下人口佔比約37.3%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為35.8%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為36.6萬元，相較全國，是收入較低的村里。"
10007020021,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以34.3%的得票率領先，第二高票為國民黨侯友宜，拿下33.1%，兩人相差1.2個百分點。第三高票為民眾黨柯文哲，得票率達32.6%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達55.5％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達55.6%。
2024年立委選舉：彰化縣鹿港鎮廖厝里所屬的彰化縣第1選區，民進黨陳秀寳以54.6%領先，國民黨阮厚爵以得票率43.2%為第二高票。政黨票方面，國民黨以36.7％在該區取得領先，其後為民進黨30.5%、民眾黨25.8%。
社會經濟背景：該區39歲以下人口佔比約38.6%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為39.5%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為36萬元，相較全國，是收入較低的村里。"
