09007010,"2024年總統大選結果：該區和全國結果不同，第一高票由國民黨侯友宜以得票率63.8%領先，接著為民眾黨柯文哲，拿下得票率25.5%，跟第一高票相差38.3個百分點。第三高票為民進黨賴清德，得票率達10.7%。
歷史選舉對比：2020年總統大選時，該區由國民黨韓國瑜領先，得票率達76.2％；2016年總統大選該區也同樣支持國民黨，朱立倫得票率達70.3%。
2024年立委選舉：連江縣南竿鄉由國民黨陳雪生領先。政黨票方面，國民黨以65％在該區取得領先，其後為民眾黨21%、民進黨8%。
社會經濟背景：該區39歲以下人口佔比約15.6%，相較全國，是較年輕的鄉鎮市區。具有大專以上學歷人口佔比約為23.9%，相較全國，是高學歷人口佔比偏高的鄉鎮市區。綜合所得中位數為61.8萬元，屬於高收入地區。
投票率與天氣：1月13日投票當天天氣晴，該區投票率達55.6%，低於全國投票率16.8個百分點。"
09007020,"2024年總統大選結果：該區和全國結果不同，第一高票由國民黨侯友宜以得票率63.1%領先，接著為民眾黨柯文哲，拿下得票率26.1%，跟第一高票相差37個百分點。第三高票為民進黨賴清德，得票率達10.8%。
歷史選舉對比：2020年總統大選時，該區由國民黨韓國瑜領先，得票率達79.6％；2016年總統大選該區也同樣支持國民黨，朱立倫得票率達71.4%。
2024年立委選舉：連江縣北竿鄉由國民黨陳雪生領先。政黨票方面，國民黨以63.2％在該區取得領先，其後為民眾黨22.7%、民進黨8.4%。
社會經濟背景：該區39歲以下人口佔比約17.1%，相較全國，是較年輕的鄉鎮市區。具有大專以上學歷人口佔比約為24.2%，相較全國，是高學歷人口佔比偏高的鄉鎮市區。綜合所得中位數為54.3萬元，屬於高收入地區。
投票率與天氣：1月13日投票當天天氣晴，該區投票率達45%，低於全國投票率27.4個百分點。"
09007030,"2024年總統大選結果：該區和全國結果不同，第一高票由國民黨侯友宜以得票率64.1%領先，接著為民眾黨柯文哲，拿下得票率26.2%，跟第一高票相差37.9個百分點。第三高票為民進黨賴清德，得票率達9.6%。
歷史選舉對比：2020年總統大選時，該區由國民黨韓國瑜領先，得票率達81.2％；2016年總統大選該區也同樣支持國民黨，朱立倫得票率達64.2%。
2024年立委選舉：連江縣莒光鄉由國民黨陳雪生領先。政黨票方面，國民黨以65.6％在該區取得領先，其後為民眾黨21.4%、民進黨6.8%。
社會經濟背景：該區39歲以下人口佔比約13.3%，相較全國，是較年長的鄉鎮市區。具有大專以上學歷人口佔比約為21.2%，相較全國，是高學歷人口佔比偏高的鄉鎮市區。綜合所得中位數為62.4萬元，屬於高收入地區。
投票率與天氣：1月13日投票當天天氣晴，該區投票率達44.9%，低於全國投票率27.5個百分點。"
09007040,"2024年總統大選結果：該區和全國結果不同，第一高票由國民黨侯友宜以得票率54.2%領先，接著為民眾黨柯文哲，拿下得票率36.1%，跟第一高票相差18.1個百分點。第三高票為民進黨賴清德，得票率達9.7%。
歷史選舉對比：2020年總統大選時，該區由國民黨韓國瑜領先，得票率達74.7％；2016年總統大選該區也同樣支持國民黨，朱立倫得票率達59.3%。
2024年立委選舉：連江縣東引鄉由國民黨陳雪生領先。政黨票方面，國民黨以59.5％在該區取得領先，其後為民眾黨26.7%、民進黨7.7%。
社會經濟背景：該區39歲以下人口佔比約20.2%，相較全國，是較年輕的鄉鎮市區。具有大專以上學歷人口佔比約為24.3%，相較全國，是高學歷人口佔比偏高的鄉鎮市區。綜合所得中位數為62.3萬元，屬於高收入地區。
投票率與天氣：1月13日投票當天天氣晴有霾，該區投票率達48.8%，低於全國投票率23.6個百分點。"
09020010,"2024年總統大選結果：該區和全國結果不同，第一高票由國民黨侯友宜以得票率62.9%領先，接著為民眾黨柯文哲，拿下得票率27%，跟第一高票相差35.9個百分點。第三高票為民進黨賴清德，得票率達10.1%。
歷史選舉對比：2020年總統大選時，該區由國民黨韓國瑜領先，得票率達75.8％；2016年總統大選該區也同樣支持國民黨，朱立倫得票率達66.9%。
2024年立委選舉：金門縣金城鎮由國民黨陳玉珍領先。政黨票方面，國民黨以64.6％在該區取得領先，其後為民眾黨20.9%、民進黨8%。
社會經濟背景：該區39歲以下人口佔比約14.3%，相較全國，是較年輕的鄉鎮市區。具有大專以上學歷人口佔比約為24.9%，相較全國，是高學歷人口佔比偏高的鄉鎮市區。綜合所得中位數為54.2萬元，屬於高收入地區。
投票率與天氣：1月13日投票當天天氣晴，該區投票率達38.3%，低於全國投票率34.1個百分點。"
09020020,"2024年總統大選結果：該區和全國結果不同，第一高票由國民黨侯友宜以得票率67.8%領先，接著為民眾黨柯文哲，拿下得票率24.5%，跟第一高票相差43.4個百分點。第三高票為民進黨賴清德，得票率達7.7%。
歷史選舉對比：2020年總統大選時，該區由國民黨韓國瑜領先，得票率達80.6％；2016年總統大選該區也同樣支持國民黨，朱立倫得票率達70.3%。
2024年立委選舉：金門縣金沙鎮由國民黨陳玉珍領先。政黨票方面，國民黨以69.7％在該區取得領先，其後為民眾黨18.5%、民進黨6%。
社會經濟背景：該區39歲以下人口佔比約14.1%，相較全國，是較年輕的鄉鎮市區。具有大專以上學歷人口佔比約為22.4%，相較全國，是高學歷人口佔比偏高的鄉鎮市區。綜合所得中位數為50.9萬元，屬於高收入地區。
投票率與天氣：1月13日投票當天天氣晴，該區投票率達34.5%，低於全國投票率37.9個百分點。"
09020030,"2024年總統大選結果：該區和全國結果不同，第一高票由國民黨侯友宜以得票率60.2%領先，接著為民眾黨柯文哲，拿下得票率29.7%，跟第一高票相差30.5個百分點。第三高票為民進黨賴清德，得票率達10%。
歷史選舉對比：2020年總統大選時，該區由國民黨韓國瑜領先，得票率達75.1％；2016年總統大選該區也同樣支持國民黨，朱立倫得票率達64.9%。
2024年立委選舉：金門縣金湖鎮由國民黨陳玉珍領先。政黨票方面，國民黨以63.3％在該區取得領先，其後為民眾黨23.3%、民進黨8%。
社會經濟背景：該區39歲以下人口佔比約15.5%，相較全國，是較年輕的鄉鎮市區。具有大專以上學歷人口佔比約為23.8%，相較全國，是高學歷人口佔比偏高的鄉鎮市區。綜合所得中位數為55.5萬元，屬於高收入地區。
投票率與天氣：1月13日投票當天天氣晴，該區投票率達38.6%，低於全國投票率33.8個百分點。"
09020040,"2024年總統大選結果：該區和全國結果不同，第一高票由國民黨侯友宜以得票率55.2%領先，接著為民眾黨柯文哲，拿下得票率33.2%，跟第一高票相差22個百分點。第三高票為民進黨賴清德，得票率達11.6%。
歷史選舉對比：2020年總統大選時，該區由國民黨韓國瑜領先，得票率達67.7％；2016年總統大選該區也同樣支持國民黨，朱立倫得票率達60.5%。
2024年立委選舉：金門縣金寧鄉由國民黨陳玉珍領先。政黨票方面，國民黨以58.1％在該區取得領先，其後為民眾黨25%、民進黨9.4%。
社會經濟背景：該區39歲以下人口佔比約17.3%，相較全國，是較年輕的鄉鎮市區。具有大專以上學歷人口佔比約為26.4%，相較全國，是高學歷人口佔比偏高的鄉鎮市區。綜合所得中位數為51.1萬元，屬於高收入地區。
投票率與天氣：1月13日投票當天天氣晴，該區投票率達38%，低於全國投票率34.4個百分點。"
09020050,"2024年總統大選結果：該區和全國結果不同，第一高票由國民黨侯友宜以得票率66.7%領先，接著為民眾黨柯文哲，拿下得票率24.5%，跟第一高票相差42.3個百分點。第三高票為民進黨賴清德，得票率達8.8%。
歷史選舉對比：2020年總統大選時，該區由國民黨韓國瑜領先，得票率達80.3％；2016年總統大選該區也同樣支持國民黨，朱立倫得票率達73.3%。
2024年立委選舉：金門縣烈嶼鄉由國民黨陳玉珍領先。政黨票方面，國民黨以69.6％在該區取得領先，其後為民眾黨16.7%、民進黨7%。
社會經濟背景：該區39歲以下人口佔比約14.4%，相較全國，是較年輕的鄉鎮市區。具有大專以上學歷人口佔比約為21.8%，相較全國，是高學歷人口佔比偏高的鄉鎮市區。綜合所得中位數為51萬元，屬於高收入地區。
投票率與天氣：1月13日投票當天天氣晴，該區投票率達29.9%，低於全國投票率42.5個百分點。"
09020060,"2024年總統大選結果：該區和全國結果不同，第一高票由國民黨侯友宜以得票率69%領先，接著為民眾黨柯文哲，拿下得票率19%，跟第一高票相差50個百分點。第三高票為民進黨賴清德，得票率達12.1%。
歷史選舉對比：2020年總統大選時，該區由國民黨韓國瑜領先，得票率達85％；2016年總統大選該區也同樣支持國民黨，朱立倫得票率達79%。
2024年立委選舉：金門縣烏坵鄉由國民黨陳玉珍領先。政黨票方面，國民黨以64.3％在該區取得領先，其後為民眾黨15.2%、新黨11.6%、民進黨7.1%。
社會經濟背景：該區39歲以下人口佔比約13.7%，相較全國，是較年輕的鄉鎮市區。具有大專以上學歷人口佔比約為25.2%，相較全國，是高學歷人口佔比偏高的鄉鎮市區。綜合所得中位數為59.4萬元，屬於高收入地區。
投票率與天氣：1月13日投票當天天氣晴，該區投票率達20.5%，低於全國投票率51.9個百分點。"
