village_id,all_text
10007220001,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以37.9%的得票率領先，第二高票為國民黨侯友宜，拿下33.1%，兩人相差4.8個百分點。第三高票為民眾黨柯文哲，得票率達28.9%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達59.2％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達60.4%。
2024年立委選舉：彰化縣埤頭鄉和豊村所屬的彰化縣第3選區，國民黨謝衣鳯以54.1%領先，民進黨吳音寧以得票率42.4%為第二高票。政黨票方面，國民黨以35.7％在該區取得領先，其後為民進黨35.3%、民眾黨22.3%。
社會經濟背景：該區39歲以下人口佔比約34.8%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為34%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為38.6萬元，相較全國，是收入較低的村里。"
10007220002,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以36.4%的得票率領先，第二高票為國民黨侯友宜，拿下32.8%，兩人相差3.6個百分點。第三高票為民眾黨柯文哲，得票率達30.8%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達58.6％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達58.2%。
2024年立委選舉：彰化縣埤頭鄉興農村所屬的彰化縣第3選區，國民黨謝衣鳯以54.8%領先，民進黨吳音寧以得票率42%為第二高票。政黨票方面，民進黨以34.5％在該區取得領先，其後為國民黨33.2%、民眾黨25.5%。
社會經濟背景：該區39歲以下人口佔比約32.4%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為35.7%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為37萬元，相較全國，是收入較低的村里。"
10007220003,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以46.3%的得票率領先，第二高票為國民黨侯友宜，拿下29.1%，兩人相差17.2個百分點。第三高票為民眾黨柯文哲，得票率達24.6%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達62.9％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達63.7%。
2024年立委選舉：彰化縣埤頭鄉埤頭村所屬的彰化縣第3選區，民進黨吳音寧以49.9%領先，國民黨謝衣鳯以得票率47.2%為第二高票。政黨票方面，民進黨以41.5％在該區取得領先，其後為國民黨31.6%、民眾黨20.2%。
社會經濟背景：該區39歲以下人口佔比約32%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為36.6%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為38.9萬元，相較全國，是收入較低的村里。"
10007220004,"2024年總統大選結果：該區和全國結果不同，第一高票由國民黨侯友宜以得票率40.5%領先，接著為民眾黨柯文哲，拿下得票率30.8%，跟第一高票相差9.7個百分點。第三高票為民進黨賴清德，得票率達28.7%。
歷史選舉對比：2020年總統大選時，該區由由國民黨韓國瑜領先，得票率達50％；2016年總統大選該區則由民進黨蔡英文領先，得票率達48.3%。這反映出該區選民的投票傾向有所變化。
2024年立委選舉：彰化縣埤頭鄉豊崙村所屬的彰化縣第3選區，國民黨謝衣鳯以63%領先，民進黨吳音寧以得票率33.2%為第二高票。政黨票方面，國民黨以44.2％在該區取得領先，其後為民進黨25.7%、民眾黨24%。
社會經濟背景：該區39歲以下人口佔比約33.1%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為31.8%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為38萬元，相較全國，是收入較低的村里。"
10007220005,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以40.4%的得票率領先，第二高票為國民黨侯友宜，拿下35.9%，兩人相差4.5個百分點。第三高票為民眾黨柯文哲，得票率達23.6%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達55.1％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達54.7%。
2024年立委選舉：彰化縣埤頭鄉崙子村所屬的彰化縣第3選區，國民黨謝衣鳯以52.8%領先，民進黨吳音寧以得票率44.6%為第二高票。政黨票方面，國民黨以37.9％在該區取得領先，其後為民進黨36.5%、民眾黨20.2%。
社會經濟背景：該區39歲以下人口佔比約34.7%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為37.9%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為39.9萬元，相較全國，是收入較低的村里。"
10007220007,"2024年總統大選結果：該區和全國結果不同，第一高票由國民黨侯友宜以得票率39.4%領先，接著為民進黨賴清德，拿下得票率34.2%，跟第一高票相差5.2個百分點。第三高票為民眾黨柯文哲，得票率達26.5%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達52.1％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達52.8%。
2024年立委選舉：彰化縣埤頭鄉合興村所屬的彰化縣第3選區，國民黨謝衣鳯以58.9%領先，民進黨吳音寧以得票率38.3%為第二高票。政黨票方面，國民黨以41.3％在該區取得領先，其後為民進黨31%、民眾黨22.4%。
社會經濟背景：該區39歲以下人口佔比約32.3%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為42%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為40萬元，相較全國，是收入較低的村里。"
10007220008,"2024年總統大選結果：該區和全國結果不同，第一高票由民眾黨柯文哲以得票率34.9%領先，接著為國民黨侯友宜，拿下得票率33%，跟第一高票相差1.9個百分點。第三高票為民進黨賴清德，得票率達32.1%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達53.3％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達58.4%。
2024年立委選舉：彰化縣埤頭鄉平原村所屬的彰化縣第3選區，國民黨謝衣鳯以57.4%領先，民進黨吳音寧以得票率38.6%為第二高票。政黨票方面，國民黨以35.9％在該區取得領先，其後為民眾黨29.8%、民進黨28%。
社會經濟背景：該區39歲以下人口佔比約35%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為41.9%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為43.8萬元，相較全國，是收入較高的村里。"
10007220009,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以39.3%的得票率領先，第二高票為國民黨侯友宜，拿下32.1%，兩人相差7.2個百分點。第三高票為民眾黨柯文哲，得票率達28.7%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達61.8％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達58.4%。
2024年立委選舉：彰化縣埤頭鄉崙腳村所屬的彰化縣第3選區，國民黨謝衣鳯以55.2%領先，民進黨吳音寧以得票率42.1%為第二高票。政黨票方面，民進黨以35.2％在該區取得領先，其後為國民黨35%、民眾黨23.1%。
社會經濟背景：該區39歲以下人口佔比約33.3%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為35.4%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為35.4萬元，相較全國，是收入較低的村里。"
10007220010,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以44.8%的得票率領先，第二高票為國民黨侯友宜，拿下30.7%，兩人相差14.1個百分點。第三高票為民眾黨柯文哲，得票率達24.6%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達61.8％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達63.9%。
2024年立委選舉：彰化縣埤頭鄉元埔村所屬的彰化縣第3選區，民進黨吳音寧以49.1%領先，國民黨謝衣鳯以得票率45.7%為第二高票。政黨票方面，民進黨以42.5％在該區取得領先，其後為國民黨31.5%、民眾黨21.4%。
社會經濟背景：該區39歲以下人口佔比約29.8%，相較全國，是較年長的村里。具有大專以上學歷人口佔比約為32.5%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為41.6萬元，接近全國平均。"
10007220011,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以38.6%的得票率領先，第二高票為國民黨侯友宜，拿下34.5%，兩人相差4.1個百分點。第三高票為民眾黨柯文哲，得票率達26.8%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達54.1％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達59.3%。
2024年立委選舉：彰化縣埤頭鄉芙朝村所屬的彰化縣第3選區，國民黨謝衣鳯以56.7%領先，民進黨吳音寧以得票率39.6%為第二高票。政黨票方面，國民黨以36.9％在該區取得領先，其後為民進黨34%、民眾黨22%。
社會經濟背景：該區39歲以下人口佔比約26.2%，相較全國，是較年長的村里。具有大專以上學歷人口佔比約為29.9%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為36.3萬元，相較全國，是收入較低的村里。"
